position	strand	source_info
84154	+	regulondb
84188	+	regulondb
84300	+	storz
84770	+	storz
84808	+	storz
84891	-	storz
85192	+	storz
85270	-	storz
85420	+	regulondb
85453	+	regulondb
85537	+	storz
85599	+	storz_regulondb
85756	+	storz
85946	-	storz
86542	+	regulondb
86713	-	storz
87347	-	storz
87478	+	regulondb
87733	+	storz
87847	+	storz
87947	+	regulondb
87962	-	storz
87969	+	regulondb
89040	+	regulondb
89143	+	storz
89360	+	regulondb
89370	-	storz
89589	+	regulondb
90010	+	regulondb
90107	-	storz
90327	+	regulondb
90367	+	regulondb
90688	+	regulondb
90828	-	storz
91012	+	regulondb
91371	-	storz
91458	-	storz
91542	-	storz
92250	-	storz
92485	+	regulondb
92677	-	storz
92933	-	storz
94564	-	storz
94608	+	regulondb
94681	+	regulondb
95826	-	storz
96153	+	regulondb
96971	+	regulondb
97215	-	storz
97337	+	storz
97532	+	regulondb
97663	-	storz
97673	+	storz
98454	+	storz
98594	+	storz
99370	+	storz
99588	-	storz
100621	+	regulondb
100883	-	storz
101724	+	storz
102049	+	regulondb
102454	+	storz
102533	+	storz
102679	+	regulondb
102693	-	storz
102742	+	regulondb
102865	+	regulondb
103019	+	regulondb
103133	+	regulondb
103561	+	storz_regulondb
103608	+	regulondb
103764	-	storz
103889	+	regulondb
103960	+	regulondb
104188	+	regulondb
104305	+	regulondb
104537	+	storz
104636	+	storz_regulondb
104693	+	regulondb
105045	+	regulondb
105087	+	regulondb
105143	-	storz
105291	+	regulondb
105669	+	regulondb
105795	-	regulondb
105816	+	regulondb
105921	+	storz
106437	-	storz
106502	+	storz
106530	+	regulondb
106757	-	storz
106940	+	regulondb
107306	-	storz
107475	-	storz
107603	+	regulondb
107645	-	storz
107668	+	storz_regulondb
107945	-	storz
108025	+	regulondb
108116	-	storz
108134	+	regulondb
108213	-	storz
108263	-	storz
108703	+	regulondb
108821	+	regulondb
108894	+	storz
109010	+	storz
109037	+	regulondb
109101	+	regulondb
109414	+	regulondb
109478	+	regulondb
110105	+	storz
110229	+	storz
110273	+	regulondb
110296	+	regulondb
110345	-	storz
110667	+	regulondb
110745	+	storz
111063	-	storz
111148	+	storz
111293	+	storz
111828	-	storz
112251	-	regulondb
112273	-	regulondb
112599	-	regulondb
112687	-	wanner
113301	-	wanner
113322	-	storz
113394	+	storz_regulondb
113801	-	storz
113975	+	storz
114576	-	storz
114768	+	storz
115647	+	storz
116075	-	storz
116380	+	storz
116545	-	storz
116596	+	storz
117051	-	storz
117705	-	regulondb
117787	-	storz
118078	-	regulondb
118526	+	storz
118663	-	regulondb
118681	+	regulondb
118990	+	storz
120149	+	storz
120283	-	storz
120543	-	storz
120697	-	storz
120916	-	regulondb
120955	-	regulondb
121068	-	storz
121304	+	storz
121613	+	storz
121650	-	regulondb
121671	-	regulondb
121705	+	storz
121790	-	storz
121802	+	storz
121903	-	storz
122025	+	storz
122373	-	storz
122612	+	storz
122852	+	regulondb
122969	+	regulondb
123388	+	regulondb
123471	+	regulondb
123955	+	storz
124882	+	storz
124973	+	regulondb
125143	-	storz
125226	+	regulondb
125425	+	regulondb
125650	-	storz
126733	+	storz
126951	-	storz
127420	+	storz
127637	+	storz
127717	+	regulondb
127887	-	storz
127896	+	regulondb
127929	+	regulondb
127953	+	regulondb
128827	-	storz
129241	-	storz
129500	+	storz
130153	-	storz
130184	-	storz
130200	+	storz
130229	+	regulondb
130512	-	storz
130908	-	storz
130935	+	storz
131307	-	regulondb
131419	-	storz
131466	-	regulondb
131519	+	regulondb
131564	+	regulondb
131743	+	regulondb
131954	+	storz
132124	+	regulondb
132840	+	regulondb
133449	+	regulondb
133469	-	storz
134079	-	storz
134147	+	storz
134339	+	storz_regulondb
135053	+	storz
135402	+	storz
135547	-	storz
136266	-	storz
136377	-	storz
136472	-	storz
136504	-	storz
136519	+	storz
136939	-	wanner
137043	+	storz
137069	+	regulondb
137630	-	regulondb
138174	+	storz
138550	+	storz
138864	-	storz
139774	+	storz
140216	+	storz
140640	-	storz
141230	-	storz
141262	-	wanner
141354	+	storz
141407	+	regulondb
141650	+	storz_regulondb
141864	+	storz
142292	+	storz
142434	+	storz
142669	+	storz
142702	-	wanner
142766	-	storz
143393	-	storz
143436	+	storz
143831	+	storz
143983	+	storz
144340	+	storz
144535	-	storz
144560	+	storz
144800	-	storz
144965	+	regulondb
145053	+	regulondb
145110	+	storz
145592	-	storz
145610	+	storz
146122	+	storz
146640	+	storz
146723	-	wanner
146745	-	regulondb
146793	+	storz
146898	+	regulondb
146957	+	regulondb
147116	+	storz
147332	+	storz
147545	+	storz
147583	+	storz_regulondb
147794	-	storz
147871	+	storz
148910	-	regulondb
149533	+	storz
149617	-	regulondb
149626	+	storz
149629	-	wanner
149783	+	storz
149892	+	storz
150376	+	storz
150380	-	storz
150401	-	storz
150548	+	storz
150689	-	storz
151806	+	storz
151930	-	storz
152097	-	storz
152495	+	storz
153051	-	storz
153214	-	storz
153909	+	storz
154419	-	storz
154505	-	storz
154859	-	storz
155090	-	storz
155199	+	storz
155276	-	storz
155401	-	storz
155414	+	storz
155438	-	regulondb
155518	-	regulondb
156107	+	storz
156214	-	regulondb
156424	-	storz
156984	-	regulondb
157031	-	regulondb
157055	-	regulondb
157309	-	storz
157390	+	storz
157639	+	storz
158624	+	storz
159009	+	storz
159151	-	regulondb
159195	-	regulondb
159229	+	storz
159389	-	wanner
159450	+	storz
159611	+	storz
160055	-	storz
160143	-	regulondb
160641	-	regulondb
160694	-	storz
160722	-	regulondb
160751	-	regulondb
160772	+	storz
160873	-	regulondb
161058	-	storz
161142	-	storz_regulondb
161187	-	regulondb
161376	-	wanner
161515	-	regulondb
161665	+	storz_regulondb
162001	+	wanner
162052	-	wanner
162075	+	storz_regulondb
162929	-	storz
164015	+	storz
164235	+	storz
164551	+	storz
164627	-	storz
164658	+	regulondb
164721	+	regulondb
166523	+	storz
167427	+	wanner
168257	-	storz
168557	-	storz
168924	+	storz
168998	-	storz
168999	+	storz
169109	-	storz
169116	+	storz
169506	+	storz
169546	+	storz
169733	+	regulondb
169815	-	storz
170500	-	storz
172890	-	storz
173246	+	storz
173356	-	storz
173420	+	regulondb
173643	-	storz
173769	-	regulondb
174330	-	storz
174370	+	storz
174463	-	storz
174902	-	regulondb
174930	+	regulondb
174941	-	regulondb
174942	+	regulondb
174990	-	storz_wanner
175008	+	regulondb
175052	+	regulondb
175074	+	regulondb
175777	-	storz
175796	+	storz
175897	+	storz
176147	+	regulondb
176450	+	storz
176558	+	storz_regulondb
176583	+	regulondb
176856	-	storz
177150	-	storz
177516	-	storz
177700	-	storz_regulondb
177757	-	regulondb
177786	-	regulondb
178294	-	storz
178550	+	storz
178595	-	storz
178744	-	regulondb
178932	-	storz
179180	-	wanner
179196	+	regulondb
179514	-	storz
179598	+	storz
180283	+	storz
180348	+	storz
180670	+	wanner
180836	+	regulondb
181047	-	wanner
181750	+	storz
182240	+	storz
182447	+	storz_regulondb
182508	+	storz
182558	-	storz
182635	+	storz
182889	-	storz
183426	+	storz
183589	+	storz
183840	-	regulondb
183915	-	wanner
184000	-	storz
184018	+	storz
184192	-	wanner
184257	+	storz
184883	-	storz
184990	-	storz
185661	+	storz
185963	+	storz
185975	-	wanner
186130	+	storz
187246	+	storz
187403	-	storz
187737	-	storz
188330	+	storz
188655	-	regulondb
188681	+	storz
188783	-	storz
188810	+	storz
188941	-	storz
189471	-	regulondb
189532	-	regulondb
189548	+	storz
189553	-	storz_regulondb
189621	-	storz_regulondb
189639	+	regulondb
189712	+	regulondb
189756	-	storz
189843	-	storz
190209	+	regulondb
190257	+	regulondb
190355	+	regulondb
190448	+	regulondb
190510	+	storz
190613	-	storz
190803	+	regulondb
190841	+	regulondb
191250	+	storz
191428	-	storz
191723	+	storz
191752	+	regulondb
191794	-	storz
191812	+	regulondb
191941	-	storz
192313	-	storz
192481	-	storz
192617	+	storz_regulondb
192796	-	storz
192797	+	storz
192849	+	regulondb
192941	+	regulondb
193335	+	regulondb
193411	+	regulondb
193471	+	regulondb
193715	-	storz
193970	-	storz
194269	+	regulondb
194432	+	storz
194466	+	storz
194669	+	storz
194764	+	storz
194884	+	storz
194965	-	storz
195054	+	storz
195239	+	storz
195472	+	regulondb
195555	+	regulondb
195803	-	storz
196159	+	storz
196470	+	regulondb
196806	-	storz
196917	+	storz
196978	+	regulondb
197026	+	regulondb
197219	-	storz
197299	+	storz
197487	+	regulondb
197586	+	regulondb
197588	-	regulondb
197730	+	storz
197821	+	regulondb
197883	+	regulondb
198063	+	storz
198356	-	storz
198507	+	regulondb
198777	+	regulondb
198858	+	regulondb
198990	-	storz
199004	+	regulondb
199299	+	storz
199411	+	storz
199742	-	storz
199980	+	regulondb
200105	-	storz
200131	+	regulondb
200212	+	regulondb
200317	+	regulondb
200328	-	storz
200399	+	storz_regulondb
200455	+	regulondb
200547	-	storz
200691	+	storz
200884	+	storz
200960	+	regulondb
201227	-	storz
201376	+	storz
201484	+	storz
201715	+	storz
201749	+	regulondb
201767	-	regulondb
202019	+	regulondb
202063	+	regulondb
202110	+	regulondb
202130	-	storz
202370	+	regulondb
202585	+	regulondb
202645	+	regulondb
202676	-	storz
202747	+	storz
202928	-	storz
203114	-	storz
203220	-	storz
203659	-	storz
203672	+	storz
203839	-	storz
204501	+	regulondb
205323	-	storz
206807	-	storz
206909	+	regulondb
207066	-	storz
207426	+	storz
207584	+	storz
207634	+	storz_regulondb
207925	+	regulondb
208042	+	regulondb
208276	+	storz_regulondb
208326	+	storz_regulondb
208411	+	regulondb
208711	-	storz
208850	+	regulondb
209002	+	regulondb
209273	+	regulondb
209519	-	storz
209626	+	storz
209658	+	regulondb
210044	-	storz
210068	+	storz
210507	-	storz
211376	-	storz
211399	+	storz
211618	+	storz
211858	+	regulondb
211903	-	storz
211967	+	storz
211973	-	storz
212306	+	regulondb
213139	+	storz
213611	+	storz
213903	+	storz
214088	+	regulondb
214163	-	regulondb
214187	-	regulondb
214195	+	regulondb
214196	-	wanner
214197	+	wanner
214269	+	storz_regulondb
214603	-	storz
214621	+	storz
214989	+	storz
215123	+	storz
215265	+	regulondb
215605	+	storz
215656	-	storz
215776	-	storz
215887	+	storz
215933	-	storz
216166	-	storz
216326	-	storz
216612	+	storz
216694	-	storz
216995	-	storz
217127	-	storz
217298	+	storz
218831	-	regulondb
218988	-	storz
219170	+	storz
219692	-	storz
220022	-	storz_regulondb
220072	-	wanner
220265	-	storz
220386	-	regulondb
220539	-	regulondb
220638	+	regulondb
220677	+	storz
220964	-	regulondb
221008	-	storz
221041	-	regulondb
221367	-	storz
221629	-	storz
221681	-	regulondb
221838	+	storz
221903	-	regulondb
221928	-	regulondb
222036	-	storz
222379	-	storz
222669	+	storz
222713	-	wanner
222806	+	regulondb
223093	-	storz
223251	+	storz
223466	-	storz
223485	+	storz_regulondb
223593	+	regulondb
223656	+	regulondb
223730	-	storz
224109	+	storz
224467	-	storz
225016	+	storz
225172	+	storz
225381	+	storz
225500	+	storz
225704	-	storz
225994	+	storz
226160	+	storz
226881	-	storz
227035	+	storz
227828	-	storz
228206	+	storz
228258	+	storz
228756	+	storz
228879	+	regulondb
228928	+	regulondb
229064	+	storz
229081	-	storz
229098	+	regulondb
229135	-	storz
229135	+	wanner
229173	+	storz
229275	-	storz
229664	+	storz
229801	-	storz
229863	+	storz
229902	+	storz
230910	-	regulondb
230983	-	wanner
231064	+	regulondb
231083	-	regulondb
231274	+	regulondb
231573	-	storz
231717	-	storz
231926	+	storz
232112	+	storz
232192	+	storz
232366	+	storz
232414	+	storz
232619	+	storz
232757	+	storz
232907	+	storz
233226	-	storz
233632	+	storz
233980	-	storz_regulondb
234025	-	regulondb
234114	+	storz
234201	-	storz
234218	+	storz
234288	+	storz
234289	-	storz
234459	+	storz
234685	+	storz
234777	+	storz
234926	-	regulondb
234937	+	storz
234947	-	storz
235854	+	storz
235934	+	regulondb
236005	-	wanner
236017	+	regulondb
236041	-	regulondb
236672	-	storz
236910	+	storz_wanner
237074	+	storz
237235	+	regulondb
237260	+	regulondb
237636	-	storz
238115	-	storz
238953	-	storz
239665	-	storz
239755	-	storz
239824	-	storz
240215	-	wanner
240319	+	storz_regulondb
240759	+	storz
240970	-	storz
241684	-	storz
241793	-	storz
241909	+	storz
242068	-	storz
242457	-	storz
243345	-	wanner
243400	+	storz
243406	-	regulondb
243468	+	regulondb
243512	+	storz_regulondb
244083	+	regulondb
244790	-	storz
244884	-	storz
245508	+	storz
245883	-	wanner
245992	-	storz
246205	-	regulondb
246532	-	storz_wanner
246615	-	regulondb
246641	+	regulondb
246675	-	storz
246685	+	storz
247071	+	storz
247544	+	regulondb
247622	+	regulondb
247951	-	storz
248127	-	storz
248134	+	storz
248402	-	storz
248547	+	storz
248927	-	storz
249380	+	storz
249878	-	storz
250485	-	storz
250492	+	storz
250864	-	storz
250880	+	regulondb
251140	-	storz
251772	+	storz
251969	+	storz_regulondb
252211	-	storz
252251	-	storz
253351	+	storz
253453	-	storz
254325	+	storz
254342	-	storz
255131	-	storz
255410	-	storz
255737	-	regulondb
255807	-	storz_wanner_regulondb
255825	+	storz
255914	+	regulondb
256081	+	storz
256361	+	storz
256502	+	storz_regulondb
256794	+	storz
257034	-	storz
257168	-	storz
257436	-	storz
257689	-	storz
257810	+	storz_regulondb
258304	-	storz
258364	+	storz
258971	-	storz
259374	-	wanner
259440	+	regulondb
259461	+	storz
259527	+	regulondb
259569	+	regulondb
259793	+	regulondb
260112	+	storz
260453	+	regulondb
260647	+	regulondb
261398	+	storz
262061	+	wanner
262232	+	storz
262242	-	storz
262302	-	storz
262327	-	storz
262362	+	storz
262546	-	storz
262682	-	storz
263042	-	regulondb
263990	+	storz
264032	+	storz
264702	+	storz
265272	-	storz
265294	-	storz
265382	-	regulondb
265421	+	storz
265449	-	storz
265986	-	storz
266005	+	storz
266934	+	storz
267250	-	regulondb
268168	-	storz
268186	+	storz
268228	+	storz
268331	-	storz
268350	+	storz
268449	-	storz
268647	+	storz
268780	-	storz
268955	-	storz
269021	+	storz
269450	+	regulondb
269812	+	storz_regulondb
270106	-	storz
270370	-	storz
270596	+	storz
270662	-	storz
270744	+	storz
270796	-	storz
270853	-	storz
270874	+	storz
271223	-	storz
271664	+	storz
272106	+	storz
272370	+	storz
274332	-	storz_regulondb
274343	+	regulondb
274368	-	storz
274430	+	regulondb
274509	+	regulondb
274522	-	regulondb
274539	+	regulondb
274637	-	storz
275295	-	storz
275454	+	storz
275895	+	storz
277021	-	storz
277070	-	storz
277400	-	storz
277725	-	storz
278422	+	storz
278933	+	regulondb
279115	-	regulondb
279153	-	storz
279203	-	storz
279224	+	storz
279353	+	storz
279710	-	storz
279728	+	storz
279956	+	storz
279987	+	storz
280042	-	wanner
281221	-	storz
281443	+	storz
281476	+	regulondb
281981	-	storz
282234	+	storz
284388	-	storz
284431	+	regulondb
284495	+	regulondb
284574	+	regulondb
285621	+	storz
288240	+	storz
288302	-	storz
288414	-	storz
288474	+	storz
289339	-	regulondb
289413	+	storz
289564	-	storz_wanner_regulondb
289652	-	storz
289665	+	storz
289701	-	storz
289782	+	storz
289893	+	storz
290405	+	regulondb
290588	-	storz
290624	-	storz
290751	+	storz
291112	+	storz
291221	+	storz
291335	-	storz
291359	+	storz
291477	-	storz
291665	-	storz
291678	+	storz
291714	+	storz
291895	+	storz
292110	-	storz
292170	-	storz
292275	+	storz_regulondb
292342	-	storz_regulondb
292365	+	storz
292770	+	storz
293130	+	storz
293211	+	storz
293255	-	regulondb
293873	+	storz
294546	-	storz
294584	-	storz
294620	+	storz
294840	+	storz
294844	-	storz_wanner_regulondb
294852	+	storz
294880	-	regulondb
294937	-	storz
294971	+	storz
295193	-	storz
295236	-	storz
295463	+	storz
295820	+	storz
295822	-	storz
296287	+	wanner
296384	+	storz
296438	+	storz
296537	-	storz
296748	-	storz
296947	+	storz
297066	-	storz
298518	+	storz
299451	-	storz
299484	-	storz
299559	+	storz
299751	+	storz
299825	-	storz
301168	+	storz
301674	+	storz
301806	-	storz
301908	+	storz
302004	+	storz
302181	+	regulondb
302760	+	storz
302910	-	storz
303195	-	storz
303482	-	regulondb
303630	-	storz
303654	-	storz
303751	-	storz
303889	-	storz
303970	+	storz
304116	-	storz
304138	+	storz
304328	-	storz
304399	-	storz
304482	+	storz
304943	+	storz
305037	+	regulondb
305251	-	storz
305260	+	storz
305555	+	storz
305655	-	storz
305988	-	storz
306256	+	storz
306913	+	storz
307014	+	storz
307867	-	storz
309300	-	regulondb
309343	-	regulondb
309380	+	storz
309464	+	storz
309574	+	storz
310021	-	regulondb
310230	-	storz
310615	-	storz
310656	-	regulondb
310706	-	regulondb
310939	+	storz
310965	+	storz
311013	+	storz
311163	+	regulondb
311221	+	storz
311290	-	storz
311344	+	storz
311911	-	storz
312027	-	storz_wanner
312028	+	storz
312029	-	regulondb
312032	+	storz
312509	-	storz_wanner_regulondb
312598	+	storz
312787	+	storz
313045	+	storz
314640	-	storz
315539	-	storz
315616	+	storz
315752	-	storz
315985	+	storz
316498	-	storz
316585	+	storz
317427	+	storz
317558	-	regulondb
317600	-	regulondb
317621	-	regulondb
317708	-	regulondb
317749	-	regulondb
318001	-	storz
318308	+	storz
318605	-	storz
318697	+	storz
319256	-	wanner
319312	-	regulondb
319340	+	regulondb
319394	-	regulondb
319417	+	regulondb
319439	-	regulondb
319913	+	storz
320199	-	storz
320520	-	storz
320705	+	regulondb
320735	+	regulondb
320761	+	regulondb
321150	-	storz
321182	-	storz
321842	-	storz
321859	+	storz
321903	+	storz
323166	+	storz
323507	+	storz
323668	-	regulondb
324099	+	storz
324504	-	storz
324551	+	storz
324873	-	storz
326481	-	regulondb
326936	+	storz
328077	+	storz
328584	-	wanner
328645	+	regulondb
329056	+	storz
329190	+	storz
329302	+	storz
330322	+	storz
330648	-	storz
330673	+	storz
330829	-	storz
330896	-	storz
331089	+	storz
331263	+	regulondb
331503	+	storz
331725	-	storz
332633	+	storz
333067	+	storz
333227	-	storz
333695	-	storz
334288	-	storz
334381	-	storz
334929	+	storz
334963	+	regulondb
338076	-	storz
339130	-	storz
339315	-	storz
339427	-	storz
340318	-	storz
341156	+	storz
341633	+	storz
341778	+	storz
341850	+	storz
341888	-	storz
341914	+	storz
342042	+	storz_wanner_regulondb
342490	+	storz
342858	-	storz
343053	+	storz
343226	-	storz
343563	+	storz
343717	+	storz
343909	+	storz
344217	+	storz
344269	-	storz
344476	+	storz_regulondb
344560	+	regulondb
344820	-	storz
344932	-	storz
345096	-	storz
345550	-	storz
345646	+	regulondb
345659	-	regulondb
346521	+	storz
346871	-	storz
347692	-	wanner
347870	+	regulondb
349205	-	storz
349241	-	storz
349392	+	storz
349664	-	storz
351422	-	storz
351884	-	storz
352239	-	storz
353124	+	storz
353430	+	storz
353664	+	storz
354108	+	storz_regulondb
355229	+	storz
356893	-	storz
356902	+	storz
357500	-	storz
357933	-	regulondb
357997	+	regulondb
358680	-	storz
359257	+	storz
360442	-	storz
360499	-	storz
360506	+	storz
360613	-	storz
360772	-	storz
361116	+	storz
361270	-	storz
361408	+	wanner
362097	-	storz
362337	-	storz
362413	+	storz
362424	-	wanner
362463	+	storz
364757	+	storz
365567	-	storz_regulondb
365901	+	storz
366762	-	regulondb
366911	-	storz
367154	+	storz
367626	-	storz
367743	+	regulondb
367752	-	regulondb
369774	-	storz
369831	+	storz
369881	-	storz
370660	-	storz
371111	-	storz
371529	-	storz
374107	+	storz
374201	+	regulondb
374610	+	regulondb
374670	-	storz
375164	-	storz
375354	-	storz
375366	+	storz
375688	+	storz
376380	+	storz
376436	-	storz
376458	+	storz
376602	-	storz
376766	+	storz
376815	-	storz
376861	-	storz
377226	-	storz
377262	+	storz
377553	+	storz
377642	-	regulondb
378088	+	storz
379124	-	storz
379401	+	storz
379427	-	storz
379669	-	storz
379682	+	storz
379808	-	storz
379925	-	storz
379953	+	storz
380057	-	wanner
380181	-	regulondb
380424	-	storz
380546	+	regulondb
380859	+	storz
381033	-	storz
381045	+	storz
381687	-	storz
381904	-	storz
382114	-	storz
382126	+	storz
382268	-	storz
382347	+	storz
382979	-	storz
383064	+	storz
383104	-	storz
383209	-	regulondb
383561	+	storz
383856	-	storz
383877	+	storz
383925	-	regulondb
383962	-	regulondb
384054	-	regulondb
384429	+	regulondb
387967	-	storz
388109	-	storz
388394	+	storz
388977	-	wanner
389085	-	regulondb
389646	-	storz
389852	+	storz
389879	-	storz
390120	-	storz
390159	+	storz
390220	-	storz
390510	+	storz
390553	-	storz
390603	+	storz
390637	+	storz
390818	+	storz
391024	-	storz
391101	+	storz
391843	-	regulondb
391884	-	regulondb
391998	+	storz
392203	-	storz_regulondb
392274	+	storz
392322	-	storz
392409	-	storz
392448	+	storz
392606	-	wanner
392919	-	storz
392929	+	storz
393395	+	storz
393622	-	storz
393638	+	storz
393685	+	regulondb
395178	+	storz
395543	-	regulondb
395566	+	storz
395587	-	storz_regulondb
395604	+	regulondb
395655	-	wanner
395777	+	regulondb
396799	-	storz
397095	+	storz
397446	+	storz
397726	-	storz
398026	-	storz
398540	-	storz
398607	-	wanner
398668	+	storz_regulondb
398684	-	regulondb
398771	-	regulondb
398794	+	regulondb
399027	-	storz
399328	-	storz
399608	-	storz
399886	-	storz
400193	+	storz
400216	-	wanner
400528	-	storz
400543	+	storz_regulondb
400587	+	storz_regulondb
400657	+	regulondb
400931	+	regulondb
400954	+	wanner
401020	+	storz
401484	-	storz
