XID	name	type	TSS	start	stop	minus35L	minus35R	minus10L	minus10R	sigma	strand	center	length	mode	promoter	include
ECK125153946	TSS_717	promoter	700829							unknown	reverse					1
ECK125156114	TSS_2885	promoter	3033456							unknown	reverse					1
ECK125155623	TSS_2394	promoter	2424843							unknown	reverse					1
ECK125156117	TSS_2888	promoter	3034243							unknown	reverse					1
ECK125156939	TSS_3710	promoter	3567248							unknown	reverse					1
ECK125156938	TSS_3709	promoter	3566737							unknown	reverse					1
ECK125137710	yhcNp5	promoter	3383428			3383397	3383402	3383418	3383423	Sigma70	forward					1
ECK125199578	yciWp	promoter	1348156			1348184	1348189	1348162	1348167	Sigma70	reverse					1
ECK125199579	pflAp	promoter	950377			950405	950410	950388	950393	Sigma70	reverse					1
ECK125199576	relAp3	promoter	2911722							Sigma54	reverse					1
ECK125199577	relAp4	promoter	2912340							Sigma54	reverse					1
ECK125136610	ybgDp9	promoter	752181			752208	752214	752187	752193	Sigma24	reverse					1
ECK125136612	ybgEp4	promoter	773373			773341	773347	773362	773367	Sigma32	forward					1
ECK125136613	ybgCp5	promoter	773932			773899	773904	773922	773927	Sigma70	forward					1
ECK125136614	ybgCp6	promoter	773867			773837	773843	773857	773862	Sigma32	forward					1
ECK125136615	tolBp3	promoter	776783			776753	776759	776772	776777	Sigma32	forward					1
ECK125136616	tolBp6	promoter	776760			776725	776730	776749	776754	Sigma70	forward					1
ECK125136617	zitBp1	promoter	784071			784104	784109	784077	784082	Sigma70	reverse					1
ECK125136618	zitBp2	promoter	784081			784112	784117	784087	784092	Sigma70	reverse					1
ECK125136619	ybgSp1	promoter	784562			784591	784597	784567	784573	Sigma24	reverse					1
ECK125156847	TSS_3618	promoter	3472550							unknown	reverse					1
ECK125156846	TSS_3617	promoter	3472233							unknown	reverse					1
ECK125156845	TSS_3616	promoter	3472231							unknown	reverse					1
ECK125156844	TSS_3615	promoter	3472226							unknown	reverse					1
ECK125156843	TSS_3614	promoter	3472213							unknown	reverse					1
ECK125156842	TSS_3613	promoter	3472211							unknown	reverse					1
ECK125156841	TSS_3612	promoter	3472204							unknown	reverse					1
ECK125156840	TSS_3611	promoter	3472171							unknown	reverse					1
ECK125137717	aaeRp6	promoter	3387499			3387467	3387472	3387489	3387494	Sigma70	forward					1
ECK125156849	TSS_3620 (cluster)	promoter	3472579							unknown	reverse					1
ECK125156848	TSS_3619 (cluster)	promoter	3472564							unknown	reverse					1
ECK125154625	TSS_1396 (cluster)	promoter	1262759							unknown	reverse					1
ECK125154624	TSS_1395	promoter	1261044							unknown	reverse					1
ECK125154627	TSS_1398 (cluster)	promoter	1264117							unknown	forward					1
ECK125154626	TSS_1397	promoter	1262898							unknown	forward					1
ECK120033628	rnlAp	promoter	2763928			2763893	2763898	2763912	2763917	Sigma32	forward					1
ECK125154620	TSS_1391	promoter	1258161							unknown	forward					1
ECK125154623	TSS_1394	promoter	1260385							unknown	reverse					1
ECK125154622	TSS_1393	promoter	1260205							unknown	reverse					1
ECK120033624	holCp	promoter	4482296			4482326	4482331	4482306	4482311	Sigma32	reverse					1
ECK120033625	creAp2	promoter	4633266			4633230	4633235	4633250	4633255	Sigma32	forward					1
ECK120033626	nfuAp2	promoter	3543480			3543445	3543450	3543465	3543470	Sigma32	forward					1
ECK120033627	hslRp	promoter	3527132			3527097	3527102	3527114	3527119	Sigma32	forward					1
ECK120033620	ybeZp	promoter	692692			692721	692726	692702	692707	Sigma32	reverse					1
ECK120033621	yceJp	promoter	1118294			1118325	1118330	1118305	1118310	Sigma32	reverse					1
ECK120033622	lapAp1	promoter	1338159			1338124	1338130	1338142	1338147	Sigma32	forward					1
ECK120033623	ycjXp	promoter	1382093			1382059	1382064	1382079	1382084	Sigma32	forward					1
ECK125137714	aaeBp3	promoter	3386285			3386311	3386317	3386291	3386297	Sigma24	reverse					1
ECK120010490	dppAp	promoter	3705893			3705924	3705929	3705899	3705904	Sigma70	reverse					1
ECK120010491	topAp1	promoter	1329004			1328969	1328974	1328989	1328994	Sigma32	forward					1
ECK120010140	ompCp1	promoter	2310852			2310880	2310885	2310857	2310862	Sigma70	reverse					1
ECK120010493	topAp3	promoter	1328872			1328837	1328842	1328861	1328866	Sigma70	forward					1
ECK120010494	topAp4	promoter	1328842			1328809	1328814	1328831	1328836	Sigma70	forward					1
ECK120010495	topAp5	promoter	1328813			1328777	1328782	1328801	1328806	Sigma70	forward					1
ECK120010144	trpLp	promoter	1321132			1321163	1321168	1321139	1321144	Sigma70	reverse					1
ECK120010145	tyrRp	promoter	1384716			1384680	1384685	1384703	1384708	Sigma70	forward					1
ECK120010498	yadVp2	promoter	156224			156258	156263	156233	156243	Sigma38	reverse					1
ECK120010499	yadVp3	promoter	156214			156247	156252	156221	156226	Sigma70	reverse					1
ECK120010148	araEp	promoter	2980230			2980264	2980269	2980239	2980244	Sigma70	reverse					1
ECK120010149	cysBp	promoter	1331812			1331777	1331782	1331800	1331805	Sigma70	forward					1
ECK125154728	TSS_1499	promoter	1299653							unknown	forward					1
ECK125154729	TSS_1500	promoter	1299656							unknown	forward					1
ECK125154720	TSS_1491	promoter	1299499							unknown	forward					1
ECK125154721	TSS_1492	promoter	1299503							unknown	forward					1
ECK125154722	TSS_1493	promoter	1299508							unknown	forward					1
ECK125154723	TSS_1494	promoter	1299529							unknown	forward					1
ECK125154724	TSS_1495 (cluster)	promoter	1299537							unknown	forward					1
ECK125154725	TSS_1496	promoter	1299609							unknown	forward					1
ECK125154726	TSS_1497 (cluster)	promoter	1299616							unknown	forward					1
ECK125154727	TSS_1498	promoter	1299620							unknown	forward					1
ECK125157760	TSS_4531	promoter	4349836							unknown	forward					1
ECK125157321	TSS_4092 (cluster)	promoter	3980384							unknown	forward					1
ECK125137381	yfeXp5	promoter	2548700			2548728	2548733	2548706	2548713	Sigma28	reverse					1
ECK125157322	TSS_4093	promoter	3980629							unknown	forward					1
ECK125137380	yfeXp3	promoter	2548576			2548603	2548608	2548582	2548587	Sigma70	reverse					1
ECK125157325	TSS_4096	promoter	3987236							unknown	reverse					1
ECK120010210	fecIp	promoter	4516305			4516339	4516344	4516313	4516318	Sigma70	reverse					1
ECK125157324	TSS_4095	promoter	3984457							unknown	forward					1
ECK120010211	hycAp	promoter	2848483			2848504	2848509	2848493	2848497	Sigma54	reverse					1
ECK125137385	yffOp7	promoter	2560015			2559980	2559985	2560005	2560010	Sigma70	forward					1
ECK125137384	yffOp1	promoter	2560102			2560068	2560074	2560091	2560097	Sigma24	forward					1
ECK125137387	yffQp1	promoter	2561411			2561376	2561382	2561400	2561406	Sigma24	forward					1
ECK125137386	yffOp8	promoter	2559924			2559890	2559896	2559913	2559918	Sigma32	forward					1
ECK125157828	TSS_4599	promoter	4388686							unknown	reverse					1
ECK125157829	TSS_4600 (cluster)	promoter	4389570							unknown	reverse					1
ECK125157826	TSS_4597	promoter	4385019							unknown	reverse					1
ECK125157827	TSS_4598	promoter	4388019							unknown	reverse					1
ECK125157824	TSS_4595	promoter	4381392							unknown	forward					1
ECK125157825	TSS_4596	promoter	4384369							unknown	reverse					1
ECK125157822	TSS_4593 (cluster)	promoter	4380421							unknown	reverse					1
ECK125157823	TSS_4594 (cluster)	promoter	4380441							unknown	reverse					1
ECK125157820	TSS_4591 (cluster)	promoter	4380357							unknown	reverse					1
ECK125157821	TSS_4592	promoter	4380359							unknown	reverse					1
ECK125155099	TSS_1870	promoter	1832010							unknown	forward					1
ECK125136391	dxrp5	promoter	193411			193378	193384	193399	193405	Sigma24	forward					1
ECK125136390	dxrp4	promoter	193338			193305	193310	193325	193332	Sigma28	forward					1
ECK125155091	TSS_1862 (cluster)	promoter	1820302							unknown	reverse					1
ECK125155090	TSS_1861 (cluster)	promoter	1820299							unknown	reverse					1
ECK125155093	TSS_1864	promoter	1820460							unknown	forward					1
ECK125155092	TSS_1863	promoter	1820452							unknown	forward					1
ECK125155095	TSS_1866	promoter	1823710							unknown	reverse					1
ECK125155094	TSS_1865	promoter	1820756							unknown	forward					1
ECK125155097	TSS_1868	promoter	1831369							unknown	forward					1
ECK125155096	TSS_1867	promoter	1823761							unknown	reverse					1
ECK120010728	hupBp2	promoter	460619			460584	460589	460607	460612	Sigma70	forward					1
ECK120010729	hupBp3	promoter	460556			460520	460525	460543	460548	Sigma70	forward					1
ECK120010726	hupAp	promoter	4198199			4198163	4198168	4198187	4198192	nan	forward					1
ECK120010727	hupBp1	promoter	460666							nan	forward					1
ECK120010724	rncp	promoter	2702245			2702280	2702285	2702254	2702259	Sigma70	reverse					1
ECK120010725	pdxJp	promoter	2699835							nan	reverse					1
ECK120010722	dadAp3	promoter	1236761			1236730	1236735	1236755	1236760	Sigma70	forward					1
ECK120010723	garPp	promoter	3272956			3272985	3272990	3272962	3272967	Sigma70	reverse					1
ECK120010720	acpPp	promoter	1150798							Sigma70	forward					1
ECK120010721	dadAp1	promoter	1236732			1236697	1236702	1236721	1236726	Sigma70	forward					1
ECK125156647	TSS_3418	promoter	3443317							unknown	reverse					1
ECK120009993	bamCp	promoter	2597036			2597067	2597072	2597045	2597049	Sigma24	reverse					1
ECK120009992	hlpAp	promoter	200455			200420	200425	200442	200446	Sigma24	forward					1
ECK120009991	mdoGp2	promoter	1108480			1108444	1108449	1108471	1108476	Sigma70	forward					1
ECK120009990	dsbCp	promoter	3036856			3036884	3036889	3036862	3036866	Sigma24	reverse					1
ECK120009997	lpxDp	promoter	200960			200928	200933	200949	200953	Sigma24	forward					1
ECK120009996	rfaDp4	promoter	3791993			3791959	3791964	3791981	3791985	Sigma24	forward					1
ECK120009995	rfaDp2	promoter	3791919							nan	forward					1
ECK120009994	rfaDp1	promoter	3791962			3791926	3791931	3791949	3791954	Sigma70	forward					1
ECK120009999	fadDp	promoter	1887831			1887860	1887865	1887835	1887840	Sigma70	reverse					1
ECK120009998	moeAp	promoter	865617			865648	865653	865624	865629	Sigma70	reverse					1
ECK125157766	TSS_4537	promoter	4364137							unknown	reverse					1
ECK125155891	TSS_2662	promoter	2734047							unknown	forward					1
ECK125155890	TSS_2661	promoter	2733982							unknown	forward					1
ECK125155893	TSS_2664	promoter	2734107							unknown	forward					1
ECK125155892	TSS_2663 (cluster)	promoter	2734093							unknown	forward					1
ECK125155895	TSS_2666	promoter	2734308							unknown	forward					1
ECK125155894	TSS_2665	promoter	2734270							unknown	forward					1
ECK125155897	TSS_2668 (cluster)	promoter	2734367							unknown	forward					1
ECK125155896	TSS_2667 (cluster)	promoter	2734351							unknown	forward					1
ECK125155899	TSS_2670	promoter	2734577							unknown	forward					1
ECK125155898	TSS_2669	promoter	2734571							unknown	forward					1
ECK125157454	TSS_4225 (cluster)	promoter	4105548							unknown	forward					1
ECK120034939	nemRp	promoter	1724045			1724007	1724012	1724034	1724039	Sigma70	forward					1
ECK120034938	tolCp4	promoter	3176096			3176061	3176066	3176079	3176089	Sigma38	forward					1
ECK120034288	ygaMp	promoter	2798143							nan	forward					1
ECK120034283	yfgMp3	promoter	2637392							nan	reverse					1
ECK120034282	yfgMp2	promoter	2637424							nan	reverse					1
ECK120034281	yfgMp1	promoter	2637455							nan	reverse					1
ECK120034280	bepAp2	promoter	2614048							nan	forward					1
ECK120034287	ffhp	promoter	2745875							nan	reverse					1
ECK120034937	creDp	promoter	4636183							nan	forward					1
ECK120034936	ecnBp	promoter	4374532			4374496	4374501	4374516	4374526	Sigma38	forward					1
ECK125156018	TSS_2789	promoter	2905602							unknown	reverse					1
ECK125156274	TSS_3045	promoter	3180462							unknown	reverse					1
ECK125156275	TSS_3046	promoter	3180472							unknown	forward					1
ECK125156276	TSS_3047	promoter	3180474							unknown	forward					1
ECK125156277	TSS_3048	promoter	3181400							unknown	reverse					1
ECK125156270	TSS_3041	promoter	3177077							unknown	forward					1
ECK125156271	TSS_3042	promoter	3177739							unknown	forward					1
ECK125156272	TSS_3043	promoter	3178458							unknown	forward					1
ECK125156273	TSS_3044 (cluster)	promoter	3180444							unknown	forward					1
ECK125135032	mntRp	promoter	852321							nan	forward					1
ECK125156279	TSS_3050	promoter	3181588							unknown	reverse					1
ECK125136869	sapFp5	promoter	1350681			1350706	1350712	1350686	1350692	Sigma24	reverse					1
ECK125136868	ycjDp5	promoter	1349920			1349938	1349943	1349927	1349931	Sigma54	reverse					1
ECK125136863	pgpBp8	promoter	1337206			1337173	1337178	1337193	1337200	Sigma28	forward					1
ECK125136862	pgpBp7	promoter	1337332			1337297	1337302	1337321	1337326	Sigma70	forward					1
ECK125136861	pgpBp6	promoter	1337186			1337148	1337153	1337175	1337180	Sigma70	forward					1
ECK125136860	pgpBp5	promoter	1337217			1337184	1337190	1337206	1337212	Sigma24	forward					1
ECK125136867	ycjDp4	promoter	1349890			1349921	1349927	1349896	1349902	Sigma24	reverse					1
ECK125136866	yciWp4	promoter	1348260			1348287	1348293	1348266	1348272	Sigma24	reverse					1
ECK125136865	yciTp1	promoter	1342568			1342598	1342604	1342574	1342580	Sigma24	reverse					1
ECK125136864	pgpBp9	promoter	1337189			1337164	1337169	1337180	1337184	Sigma54	forward					1
ECK125137734	envRp15	promoter	3411643			3411672	3411677	3411649	3411654	Sigma70	reverse					1
ECK125137735	yhdVp9	promoter	3416218			3416189	3416195	3416208	3416213	Sigma32	forward					1
ECK125137736	rrfFp2	promoter	3421729			3421756	3421761	3421734	3421741	Sigma28	reverse					1
ECK125137737	yrdBp1	promoter	3428084			3428102	3428107	3428090	3428094	Sigma54	reverse					1
ECK125137730	envRp11	promoter	3411509			3411539	3411545	3411514	3411520	Sigma24	reverse					1
ECK125137731	envRp12	promoter	3411624			3411657	3411662	3411630	3411635	Sigma70	reverse					1
ECK120034429	nadAp	promoter	781284							nan	forward					1
ECK125137733	envRp14	promoter	3411655			3411687	3411692	3411661	3411666	Sigma70	reverse					1
ECK120034427	rsfAp	promoter	668295							nan	reverse					1
ECK120034426	lipAp	promoter	659524							nan	reverse					1
ECK120034425	rnap	promoter	644257							nan	reverse					1
ECK120034424	uspGp	promoter	641126							nan	reverse					1
ECK120034423	ybdBp	promoter	628515							nan	forward					1
ECK125137739	rsmBp4	promoter	3433013			3432979	3432985	3433002	3433007	Sigma32	forward					1
ECK120034421	ybbYp	promoter	539583							nan	forward					1
ECK120034420	ybaLp	promoter	502519							nan	reverse					1
ECK125153530	TSS_301 (cluster)	promoter	195478							unknown	forward					1
ECK125153531	TSS_302	promoter	195482							unknown	forward					1
ECK125153532	TSS_303	promoter	195485							unknown	forward					1
ECK125153533	TSS_304	promoter	196978							unknown	forward					1
ECK125153534	TSS_305 (cluster)	promoter	197487							unknown	forward					1
ECK125153535	TSS_306	promoter	197586							unknown	forward					1
ECK125153536	TSS_307	promoter	197588							unknown	reverse					1
ECK125153537	TSS_308	promoter	197883							unknown	forward					1
ECK125153538	TSS_309	promoter	198507							unknown	forward					1
ECK125153539	TSS_310	promoter	198777							unknown	forward					1
ECK125157633	TSS_4404	promoter	4183718							unknown	forward					1
ECK125157632	TSS_4403	promoter	4183622							unknown	forward					1
ECK125157631	TSS_4402	promoter	4183609							unknown	forward					1
ECK125157630	TSS_4401 (cluster)	promoter	4183572							unknown	forward					1
ECK125157637	TSS_4408	promoter	4183897							unknown	forward					1
ECK125157636	TSS_4407	promoter	4183866							unknown	forward					1
ECK125157635	TSS_4406	promoter	4183803							unknown	forward					1
ECK125156320	TSS_3091	promoter	3245950							unknown	forward					1
ECK125157639	TSS_4410	promoter	4184038							unknown	forward					1
ECK125157638	TSS_4409	promoter	4183973							unknown	forward					1
ECK125137882	waaUp9	promoter	3797421			3797452	3797458	3797426	3797432	Sigma24	reverse					1
ECK125137883	pyrEp4	promoter	3814008			3814035	3814041	3814013	3814018	Sigma32	reverse					1
ECK125137880	waaUp6	promoter	3797519			3797551	3797556	3797525	3797530	Sigma70	reverse					1
ECK125137881	waaUp8	promoter	3797521			3797551	3797556	3797527	3797532	Sigma70	reverse					1
ECK125137886	gltSp3	promoter	3826714			3826745	3826750	3826720	3826725	Sigma70	reverse					1
ECK125137887	xanPp4	promoter	3826942			3826910	3826915	3826932	3826937	Sigma70	forward					1
ECK125137884	ligBp1	promoter	3819279			3819312	3819317	3819285	3819290	Sigma70	reverse					1
ECK125137885	ligBp4	promoter	3819311			3819339	3819345	3819318	3819323	Sigma32	reverse					1
ECK125137888	xanPp5	promoter	3826844			3826811	3826817	3826832	3826838	Sigma24	forward					1
ECK125137889	setCp10	promoter	3834791			3834757	3834762	3834781	3834786	Sigma70	forward					1
ECK125153496	TSS_267	promoter	175012							unknown	forward					1
ECK125155709	TSS_2480 (cluster)	promoter	2533693							unknown	forward					1
ECK125155708	TSS_2479	promoter	2533496							unknown	forward					1
ECK125155701	TSS_2472 (cluster)	promoter	2532075							unknown	forward					1
ECK125155700	TSS_2471	promoter	2532064							unknown	forward					1
ECK125155703	TSS_2474	promoter	2532789							unknown	forward					1
ECK125155702	TSS_2473	promoter	2532193							unknown	forward					1
ECK125155705	TSS_2476	promoter	2532798							unknown	forward					1
ECK125155704	TSS_2475	promoter	2532793							unknown	forward					1
ECK125155707	TSS_2478	promoter	2533474							unknown	forward					1
ECK125155706	TSS_2477	promoter	2533344							unknown	forward					1
ECK120010551	ftsZp2	promoter	105045							nan	forward					1
ECK120010550	ftsQp2	promoter	102742			102708	102713	102727	102737	Sigma38	forward					1
ECK120010553	ftsZp4	promoter	104636							nan	forward					1
ECK120010552	ftsZp3	promoter	104693							nan	forward					1
ECK120010555	livKp2	promoter	3595753							nan	reverse					1
ECK120010554	proPp2	promoter	4328430			4328395	4328400	4328413	4328423	Sigma38	forward					1
ECK120010557	ppiDp1	promoter	461062			461035	461040	461053	461058	Sigma32	forward					1
ECK120010556	mprAp	promoter	2808769			2808733	2808738	2808756	2808761	Sigma70	forward					1
ECK120010559	appAp	promoter	1039822			1039785	1039790	1039809	1039814	nan	forward					1
ECK120010558	ppiDp2	promoter	461043			461011	461016	461033	461038	Sigma70	forward					1
ECK125153709	TSS_480	promoter	433823							unknown	forward					1
ECK125153708	TSS_479	promoter	433820							unknown	forward					1
ECK125153703	TSS_474	promoter	431409							unknown	reverse					1
ECK125153702	TSS_473	promoter	431226							unknown	reverse					1
ECK125153701	TSS_472 (cluster)	promoter	429287							unknown	forward					1
ECK125153700	TSS_471	promoter	429283							unknown	forward					1
ECK125153707	TSS_478 (cluster)	promoter	433817							unknown	forward					1
ECK125153706	TSS_477 (cluster)	promoter	433735							unknown	forward					1
ECK125153705	TSS_476	promoter	433725							unknown	forward					1
ECK125153704	TSS_475	promoter	432199							unknown	forward					1
ECK120015389	polBp	promoter	65803			65832	65837	65810	65815	Sigma70	reverse					1
ECK120015388	evgAp1	promoter	2481663			2481629	2481634	2481646	2481656	Sigma38	forward					1
ECK120015383	galUp	promoter	1290628							nan	forward					1
ECK120015382	glkp	promoter	2507483			nan	nan	2507489	2507496	Sigma70	reverse					1
ECK120015381	agpp	promoter	1064782							nan	forward					1
ECK120015380	vesp	promoter	1823008			1823038	1823042	1823015	1823022	Sigma28	reverse					1
ECK120015387	evgAp2	promoter	2481653			2481625	2481630	2481646	2481651	Sigma70	forward					1
ECK120015386	sthAp	promoter	4158825							nan	reverse					1
ECK120015385	bglXp	promoter	2220142			2220173	2220178	2220149	2220154	Sigma70	reverse					1
ECK120015384	amyAp	promoter	2004139			2004105	2004110	2004127	2004132	Sigma70	forward					1
ECK125155288	TSS_2059	promoter	2006141							unknown	reverse					1
ECK125155289	TSS_2060	promoter	2006264							unknown	forward					1
ECK125155284	TSS_2055	promoter	2001699							unknown	reverse					1
ECK125155285	TSS_2056	promoter	2001860							unknown	forward					1
ECK125155286	TSS_2057	promoter	2004156							unknown	forward					1
ECK125155287	TSS_2058 (cluster)	promoter	2006139							unknown	reverse					1
ECK125155280	TSS_2051	promoter	1999831							unknown	reverse					1
ECK125155281	TSS_2052	promoter	2000416							unknown	reverse					1
ECK125155282	TSS_2053	promoter	2000425							unknown	reverse					1
ECK125155283	TSS_2054	promoter	2001324							unknown	reverse					1
ECK125156489	TSS_3260	promoter	3382336							unknown	reverse					1
ECK125156488	TSS_3259 (cluster)	promoter	3382316							unknown	reverse					1
ECK125156487	TSS_3258	promoter	3382307							unknown	reverse					1
ECK125156486	TSS_3257 (cluster)	promoter	3380951							unknown	forward					1
ECK125156485	TSS_3256	promoter	3378239							unknown	forward					1
ECK125156484	TSS_3255 (cluster)	promoter	3378234							unknown	forward					1
ECK125156483	TSS_3254	promoter	3378224							unknown	forward					1
ECK125156482	TSS_3253	promoter	3378182							unknown	forward					1
ECK125156481	TSS_3252	promoter	3378148							unknown	forward					1
ECK125156480	TSS_3251	promoter	3378145							unknown	forward					1
ECK125157026	TSS_3797	promoter	3701095							unknown	reverse					1
ECK125157027	TSS_3798	promoter	3701126							unknown	reverse					1
ECK125157024	TSS_3795	promoter	3694466							unknown	forward					1
ECK125157025	TSS_3796	promoter	3697288							unknown	forward					1
ECK125157022	TSS_3793	promoter	3685834							unknown	reverse					1
ECK125157023	TSS_3794	promoter	3694420							unknown	forward					1
ECK125157020	TSS_3791	promoter	3677415							unknown	forward					1
ECK125157021	TSS_3792	promoter	3684226							unknown	reverse					1
ECK125157028	TSS_3799	promoter	3702152							unknown	reverse					1
ECK125157029	TSS_3800	promoter	3702704							unknown	reverse					1
ECK125157001	TSS_3772	promoter	3644017							unknown	forward					1
ECK125157002	TSS_3773	promoter	3644555							unknown	forward					1
ECK125156735	TSS_3506	promoter	3451251							unknown	reverse					1
ECK125156734	TSS_3505 (cluster)	promoter	3451247							unknown	reverse					1
ECK125156737	TSS_3508 (cluster)	promoter	3451262							unknown	reverse					1
ECK125156736	TSS_3507	promoter	3451256							unknown	reverse					1
ECK125156731	TSS_3502	promoter	3450147							unknown	reverse					1
ECK125156730	TSS_3501 (cluster)	promoter	3450022							unknown	reverse					1
ECK125156733	TSS_3504	promoter	3451236							unknown	reverse					1
ECK125156732	TSS_3503	promoter	3450631							unknown	reverse					1
ECK125156772	TSS_3543 (cluster)	promoter	3469372							unknown	reverse					1
